Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R4,20K,R_0603_1608Metric,257.375,-130.08,0.0,top
R5,10K,R_0603_1608Metric,240.825,-94.5,0.0,top
R6,10K,R_0603_1608Metric,240.825,-100.6,0.0,top
R7,4.7K,R_0603_1608Metric,244.025,-102.2,0.0,top
R8,4.7K,R_0603_1608Metric,249.25,-108.5,90.0,top
R9,1K,R_0603_1608Metric,259.375,-108.5,-90.0,top
SW10,SW_Push_45deg,SW_TS-1088-AR02016,200.835188,-123.365092,0.0,top
SW11,SW_Push_45deg,SW_TS-1088-AR02016,200.835188,-131.281759,0.0,top
SW12,SW_Push_45deg,SW_TS-1088-AR02016,209.385188,-107.531759,0.0,top
SW13,SW_Push_45deg,SW_TS-1088-AR02016,209.385188,-115.448426,0.0,top
SW14,SW_Push_45deg,SW_TS-1088-AR02016,209.385188,-123.365092,0.0,top
SW15,SW_Push_45deg,SW_TS-1088-AR02016,209.385188,-131.281759,0.0,top
SW2,SW_Push_45deg,SW_TS-1088-AR02016,192.285188,-107.531759,0.0,top
SW3,SW_Push,SW_TS-1088-AR02016,242.425,-97.2,0.0,top
SW4,SW_Push,SW_TS-1088-AR02016,242.425,-91.1,0.0,top
SW5,SW_Push_45deg,SW_TS-1088-AR02016,192.285188,-131.281759,0.0,top
SW6,SW_Push_45deg,SW_TS-1088-AR02016,192.285188,-115.448426,0.0,top
SW7,SW_Push_45deg,SW_TS-1088-AR02016,200.835188,-107.531759,0.0,top
SW8,SW_Push_45deg,SW_TS-1088-AR02016,200.835188,-115.448426,0.0,top
SW9,SW_Push_45deg,SW_TS-1088-AR02016,192.285188,-123.365092,0.0,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,255.7,-97.03,0.0,top
U2,ES7243,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,248.4125,-116.5375,180.0,top
U4,TPS563201,SOT-23-6,242.425,-122.48,0.0,top
U5,LM5050-1,TSOT-23-6,238.6375,-107.3375,90.0,top
U6,USBLC6-2P6,SOT-666,233.125,-128.52,0.0,top
U8,ATtiny1616-S,SOIC-20W_7.5x12.8mm_P1.27mm,200.915188,-95.681759,0.0,top
